date,expiry,strike,spot_price,option_price,bsm_price,binomial_price,abs_error,binomial_error,delta,gamma,vega,theta,rho
2025-07-01,2025-07-31,60100.0,57459.45,143.4,40.71142280161803,40.359100381254265,102.68857719838198,103.04089961874574,0.06403455539112396,8.499226562864441e-05,20.64552519021753,-3.7530423833214197,2.9906949953152595
2025-07-01,2025-07-31,55800.0,57459.45,2145.7,2026.3963558956239,2026.6231821113954,119.30364410437596,119.07681788860441,0.914804758451941,0.00010570852069485724,25.67772385739042,-13.176925230395378,41.53790294970063
2025-07-01,2025-07-31,48500.0,57459.45,8511.05,9227.78031326901,9227.780313267944,716.7303132690104,716.7303132679444,0.9999999999958836,1.9471404576510632e-14,4.7298112445867615e-09,-8.919555353687498,39.642468235474894
2025-07-01,2025-07-31,62300.0,57459.45,532.95,0.7334922804538451,0.6684818379301372,532.2165077195461,532.2815181620699,0.0017352468606876175,3.7789702105301366e-06,0.917952052431079,-0.15525380136080377,0.081347538040178
2025-07-01,2025-07-31,61000.0,57459.45,68.05,9.432750105273158,9.221442498031132,58.61724989472684,58.82855750196887,0.017822312060512362,2.976772522199876e-05,7.230897027871728,-1.2664246642227635,0.8339404098247676
2025-07-01,2025-07-31,61100.0,57459.45,738.55,7.895599792297162,7.468651909411715,730.6544002077028,731.0813480905882,0.015202060970881207,2.597903226979828e-05,6.310583218090278,-1.1015630201287212,0.7114573664063036
2025-07-01,2025-07-31,62200.0,57459.45,29.95,0.909469225881395,0.8420115460894573,29.040530774118604,29.107988453910544,0.0021177469018135247,4.528729907111198e-06,1.1000766562157005,-0.18645716230890383,0.09926720793824197
2025-07-01,2025-07-31,54300.0,57459.45,2650.0,3463.530535793594,3463.3611938241384,813.530535793594,813.3611938241384,0.9925081216750906,1.4030721573479835e-05,3.4082114830055814,-10.414413622783325,44.02638925166316
2025-07-01,2025-07-31,52100.0,57459.45,4680.0,5647.706309118286,5647.70440048465,967.7063091182863,967.7044004846503,0.9999737707664632,7.591608123932648e-08,0.018440823479364796,-9.584096333112004,42.58375608784829
2025-07-01,2025-07-31,55500.0,57459.45,2375.65,2302.698331047679,2302.731076451615,72.95166895232114,72.91892354838501,0.943062388155888,7.752789126650676e-05,18.832349276116595,-12.404824217941874,42.64532696554205
2025-07-01,2025-07-31,58100.0,57459.45,655.5,444.02200311303386,443.86792497385835,211.47799688696614,211.63207502614165,0.41957777274013686,0.00026502881195254323,64.37831693070643,-13.98104103277462,19.450426891035796
2025-07-01,2025-07-31,54000.0,57459.45,3730.35,3760.070252564765,3759.9805349318144,29.720252564764905,29.63053493181451,0.9959593305462249,8.107242429217057e-06,1.9693354043169629,-10.181578827462038,43.94564802985439
2025-07-01,2025-07-31,58400.0,57459.45,531.85,333.2598281947976,332.9907063026769,198.59017180520243,198.8592936973231,0.34323150218806464,0.00024937733591794896,60.576406952824875,-12.623051699364167,15.93586315907276
2025-07-01,2025-07-31,62100.0,57459.45,31.85,1.124188905423722,1.0155412542487776,30.72581109457628,30.834458745751224,0.00257601526449721,5.407543479501841e-06,1.3135498188864136,-0.2231354146522867,0.12073334086371817
2025-07-01,2025-07-31,57000.0,57459.45,1242.6,1051.59555421002,1052.7925175302023,191.00444578997985,189.8074824697976,0.7060376932968482,0.0002336067589143981,56.74556608297822,-15.773881379682312,32.47967834128402
2025-07-01,2025-07-31,55700.0,57459.45,2250.0,2117.509255466488,2117.0125301808816,132.49074453351204,132.98746981911836,0.9251857825354072,9.581510500350135e-05,23.274507972245896,-12.911845714703038,41.95327969055146
2025-07-01,2025-07-31,58300.0,57459.45,572.65,367.67844707447875,367.5582215583811,204.97155292552122,205.09177844161889,0.3681040063856438,0.00025562050451681984,62.09293899984593,-13.107237028276359,17.08222627614337
2025-07-01,2025-07-31,55300.0,57459.45,2554.9,2491.218444626422,2491.350658970638,63.68155537357825,63.54934102936204,0.9574367459621923,6.145697042580084e-05,14.928551694152103,-11.94029048222581,43.16923593546647
2025-07-01,2025-07-31,62500.0,57459.45,25.15,0.47270852249363315,0.4263926396525214,24.677291477506365,24.723607360347476,0.0011535458139270345,2.6029189461336457e-06,0.6322766933322632,-0.10650051330652847,0.054089917393607745
2025-07-01,2025-07-31,52900.0,57459.45,3633.5,4852.229176967747,4852.216438919458,1218.7291769677468,1218.7164389194577,0.9997203385006749,7.026376564731948e-07,0.17067815911267792,-9.751224640788163,43.22560407706426
2025-07-01,2025-07-31,54900.0,57459.45,2135.0,2875.6654092557073,2875.4884319492003,740.6654092557073,740.4884319492003,0.9774951932371764,3.6281141370835564e-05,8.813075078786744,-11.16995956947145,43.80055131928452
2025-07-01,2025-07-31,58500.0,57459.45,498.3,301.2546039812587,302.1644137034287,197.04539601874131,196.13558629657132,0.31906108402245625,0.0002422171099765012,58.83711192464307,-12.112646133913547,14.820673808509202
2025-07-01,2025-07-31,58000.0,57459.45,698.95,486.055958005858,486.08797613387304,212.89404199414207,212.862023866127,0.44597067896900194,0.0002680598731156034,65.11459392170312,-14.363566543780848,20.662334771243476
2025-07-01,2025-07-31,60900.0,57459.45,73.8,11.234356216603373,10.97423308665055,62.565643783396624,62.82576691334945,0.02082369200501057,3.397752192006507e-05,8.253501415844775,-1.4505481817303467,0.9742056438581104
2025-07-01,2025-07-31,52000.0,57459.45,5673.3,5747.15056008059,5747.149490882856,73.85056008059018,73.84949088285612,0.9999809953001015,5.592708625941648e-08,0.013585284021362873,-9.565058321268948,42.50236227971163
